twsp-train.arff
m,k,certainty_labeling,num_labels,accuracy
5,11,0,16,0.473958
5,11,0,21,0.484375
5,11,0,26,0.447917
5,11,0,31,0.427083
5,11,0,36,0.463542
5,11,0,41,0.442708
5,11,0,46,0.427083
5,11,0,51,0.463542
5,11,0,56,0.484375
5,11,0,61,0.468750
5,11,0,66,0.489583
5,11,0,71,0.473958
5,11,0,76,0.510417
5,11,0,81,0.526042
5,11,0,86,0.515625
5,11,0,91,0.484375
5,11,0,96,0.489583
5,11,0,101,0.473958
5,11,0,106,0.453125
5,11,0,111,0.473958
5,11,0,116,0.468750
5,11,0,121,0.453125
5,11,0,126,0.406250
5,11,0,131,0.390625
5,11,0,136,0.390625
5,11,0,141,0.395833
5,11,0,146,0.401042
5,11,0,151,0.421875
5,11,0,156,0.416667
5,11,0,161,0.406250
5,11,0,166,0.427083
5,11,0,171,0.421875
5,11,0,176,0.411458
5,11,0,181,0.406250
5,11,0,186,0.432292
5,11,0,191,0.416667
5,11,0,192,0.416667
7,3,1,6,0.500000
7,3,1,13,0.505208
7,3,1,20,0.500000
7,3,1,27,0.500000
7,3,1,34,0.531250
7,3,1,41,0.583333
7,3,1,48,0.630208
7,3,1,55,0.677083
7,3,1,62,0.677083
7,3,1,69,0.677083
7,3,1,76,0.703125
7,3,1,83,0.708333
7,3,1,90,0.734375
7,3,1,97,0.750000
7,3,1,104,0.786458
7,3,1,111,0.791667
7,3,1,118,0.807292
7,3,1,125,0.843750
7,3,1,132,0.864583
7,3,1,139,0.906250
7,3,1,146,0.942708
7,3,1,153,0.979167
7,3,1,160,0.973958
7,3,1,167,0.979167
7,3,1,174,1.000000
7,3,1,181,1.000000
7,3,1,188,1.000000
7,3,1,192,1.000000
7,3,0,6,0.500000
7,3,0,13,0.505208
7,3,0,20,0.505208
7,3,0,27,0.453125
7,3,0,34,0.473958
7,3,0,41,0.494792
7,3,0,48,0.494792
7,3,0,55,0.515625
7,3,0,62,0.567708
7,3,0,69,0.614583
7,3,0,76,0.645833
7,3,0,83,0.651042
7,3,0,90,0.677083
7,3,0,97,0.692708
7,3,0,104,0.739583
7,3,0,111,0.755208
7,3,0,118,0.781250
7,3,0,125,0.812500
7,3,0,132,0.848958
