GCI,MNI,NYT,SSP
61,32.5,40.62,5.7
58.12,34.88,39.81,5.51
58.44,35.31,39.62,5.54
58.06,36.5,41.31,5.82
58,35.75,41.62,5.78
54.19,36,40.31,5.72
53.69,35.81,40.81,5.75
55.62,34.94,40.44,5.7
56.19,36.25,39.94,5.92
56.69,36.06,39.31,5.83
56.88,35.88,39.5,5.92
54.5,35.81,36.88,5.72
52.56,34.25,37.88,5.85
49.75,34.25,39.12,5.54
52.62,37.31,40,5.95
51.62,37.38,38.38,5.91
52,38.94,34.88,6.29
51.88,40.25,33.44,6.23
54.38,40.31,33.75,6.71
57.62,42.06,36.88,6.76
56.19,39.69,37.5,6.79
54.06,38.5,35.38,6.76
54.12,39.62,35.44,6.54
54.25,40,35.69,6.9
56.5,41.56,40.94,6.8
59.56,38.44,40.56,7.01
62.19,40.54,38.94,6.97
61.88,40.56,38.5,7.04
63.5,41.25,41.75,7.11
63.5,41.45,42,7.33
61.25,40.8,41.44,7.44
63.4,40.58,43.59,7.43
65.28,39.5,42.75,7.47
64.96,38,42.7,7.37
66.7,38.9,43.4,7.23
65.59,40.95,44.1,7.35
61.98,39.9,42.02,7.38
61.1,41.55,42.57,6.79
56.5,42.35,38.95,6.52
59.64,40.91,40.62,6.7
63,40.2,41.22,6.64
63.35,41.5,41.34,6.84
63.9,39.89,41.9,7.2
65.87,38.8,42.25,7.4
65.41,38.3,41.23,7.4
66.52,37.5,42,7.45
68.27,39.1,42.35,7.75
66.47,39.75,42.22,7.74
64.11,40.62,41.5,7.71
64.05,41.5,41.32,7.66
60.73,42.89,37.93,7.28
64,42.8,42.37,7.75
67,43.31,42.15,8
64.75,43.78,40.92,7.95
67.1,43,45.85,7.88
67.1,43,46.3,7.7
67.03,43.69,46.3,8.06
68.91,42.2,47,8.09
66.1,41.6,44.86,8.08
64.5,42.04,44.92,7.79
63,41.95,44.59,7.67
64.45,42.24,43.61,7.68
60.45,42.95,40.14,6.94
57.46,41.49,38.05,6.72
58.55,41.37,38.36,6.86
60.25,41.61,38.9,6.77
66.3,42.23,41.99,7.51
65.3,42.84,42.53,7.56
63,48.5,40.11,7.02
65.5,45.98,43.39,7.45
67.4,46.2,44.48,7.37
68.25,46.9,45.1,7.42
67.35,48.25,44.8,7.27
71.1,48.25,46.7,7.68
68.37,48.04,44.1,7.43
67.86,49.54,43.25,7.77
67.83,50.99,44.34,7.77
69,52.8,44.15,7.86
67.5,53.16,43.7,7.99
68.33,53.32,43.52,7.93
67.23,56.84,43.15,8.01
65.03,57.46,41.66,8.05
73.31,60.2,44.99,8.4
74.39,59.6,45.07,8.55
75.97,58.94,44.11,8.59
76.96,59.92,45.81,8.81
75.55,57.48,46.92,8.91
77.85,56.1,48.51,9.36
75.17,60.76,47.5,9.37
76,59.3,47,9.59
79.87,60.35,47.98,10.08
76.99,61.59,46.56,9.45
77,62.25,47.67,9.25
74.18,64.05,47.93,9.33
74.58,61.5,47.98,8.95
76.15,62.14,49.55,8.98
75.22,63.1,49.53,8.77
75.12,63.36,49.01,8.77
77.1,60.55,49.15,8.69
71.96,55.25,48.1,8.66
76.97,55.18,52.79,9.1
74.7,54.7,51.51,8.91
75.49,56.6,51.88,9
71.05,59.3,48.34,8.83
64.5,58.7,42.93,8.52
70.6,57.7,43.11,8.57
70.26,56.9,43.37,8.43
71.3,59.67,46.08,8.58
74.09,60.3,47.4,8.63
76.9,60.95,47.55,8.6
75.96,56.65,47.2,8.21
74.4,58.85,46.9,8.15
76.86,61.17,48.8,8.31
74.06,60.9,45.93,8.22
72.18,63,45.45,8
66.62,59.12,42.8,7.66
73.56,58.02,45.68,8.72
79.2,57.51,50.11,8.98
76.48,56.87,49.45,8.91
77.2,55.6,49.48,8.95
75.03,57.2,47.59,8.75
73.55,57.2,48.04,8.92
71.07,57.48,47.35,9.03
70.21,56.87,46.78,9.18
70.63,56.45,46.33,8.96
72,54.25,45.3,8.84
72.11,56.35,45.27,8.83
73.7,54.85,47.12,9.17
74.8,53.15,47.51,9.41
73.65,52,46.22,9.57
72.78,53.29,46.87,9.34
72.66,51.59,48.84,9.47
71.89,54.05,46.88,8.95
71,55.06,45.48,9.01
70.25,53.59,45.29,9.14
71.28,54.42,45.56,9.18
68.22,55.7,44.21,8.7
73.84,58.27,46.4,9.01
72.17,58.65,45.64,9.16
70.43,59.31,43.15,8.75
72.19,59.95,44.83,9.32
74.65,58.98,46.49,9.18
76.08,60.3,46.27,9.1
76.18,61.9,46.97,9.2
75.5,59.95,46.5,9.37
76.18,59.84,46.84,9.82
74.31,57.79,45.53,9.59
76.97,59.65,46.8,9.97
79.5,57.8,47.09,10.21
76.82,58.1,47.81,10.23
76.83,58.25,45.63,10.2
76.07,57.05,45.56,10.06
78.17,56.45,45.48,10.25
78.44,57.37,44.07,10.18
77.06,58.8,44.65,9.57
76.97,59.26,44.89,9.55
76.83,59.76,44.6,9.58
77.5,61.05,44.35,9.44
77.38,61.86,44.78,9.81
78.5,60.05,44.53,9.88
77.53,60.45,43.39,9.95
78.3,62.18,44.66,10.07
77.04,62.11,44.37,10.12
78.1,64.77,43.9,10.05
77.95,64.7,43.68,9.82
79.15,66.3,44.28,10.07
80.75,66.5,44.78,10.08
83.48,65.59,46.72,10.8
83.38,67.06,46.74,10.64
84.11,65.8,47.53,10.73
85.53,67.03,47.35,10.87
85.8,67.96,47.62,10.77
84.78,69.94,45.84,10.54
88.27,70.29,46,10.67
87.43,70.34,45.63,10.77
87.35,71.51,44.96,10.96
87.4,70.05,46.6,10.88
89.05,68.99,47.6,10.86
89.76,70.35,47.44,10.97
88.61,70.46,47.34,10.75
86,68.58,47.13,10.65
86.94,68.9,48.59,10.9
85.15,68.85,46.39,10.72
88.18,70.51,48.25,11.39
87.34,69.45,46.99,11.52
86.27,73.21,45.64,11.25
86.22,70.65,46.1,11.42
85.68,71.55,45.32,11.26
88.25,72.99,45.12,11.37
87.7,72.55,43.97,11.23
90.14,69.97,45.79,11.9
89.22,69.2,46.73,11.99
90.06,69.96,46.34,12.48
89,70.1,46.6,12.24
86.15,69.91,45.58,12.11
85.1,69.75,45.11,11.82
86.19,69.51,45.77,11.55
87.21,70.15,46.2,11.68
87.2,70.29,46.49,12.24
87.43,71.39,46.98,12.5
86.9,70.15,45.89,12.29
85.97,69.62,45.4,12.2
84.85,70.63,44.71,12.13
80.41,69.4,43.78,12.01
80.73,70.79,42.52,12.2
82.98,71.8,41.92,12.01
83.25,72.25,41.75,11.75
83.1,72.66,41.32,11.93
81.85,69.75,41.41,11.35
83.58,69.36,42.06,11.7
85.15,71.2,40.96,11.91
85.33,71.19,40.98,12.05
85.7,68.83,40.89,11.88
86.23,67.31,40.8,11.59
84.39,69.5,39.03,11.42
84.07,71.01,39.66,11.15
84.1,71.85,39,11.48
80.73,69.94,39.34,10.88
80.2,70.8,38.87,10.8
82.95,70.33,40.05,11.02
84.86,70.67,41.17,11.08
83.14,70.06,41.52,11.14
79.78,71.45,40.92,10.94
82.77,71.33,40.89,10.93
81.97,70.44,39.47,10.49
80.56,70.64,39.63,10.63
78.99,70.5,39.8,10.55
80.89,72.4,40.76,11.11
80.8,73.02,40.18,11.03
81.67,72.7,40.34,11.21
81.25,72.3,39.81,11.08
80,73.03,39.43,10.93
79.64,73.44,38.9,10.72
80.15,75.47,38.9,10.7
79.55,74.5,38.71,10.87
79.75,74.01,37.35,10.86
79.1,73.7,36.24,10.82
79,74.5,36.34,10.78
80,71.15,36.24,11.2
78.95,70.7,35.56,11.13
78.47,69.49,36,11.11
79.05,69.6,35.57,11.1
78.41,69.55,34,12.09
75.71,70,32.72,11.66
77,69.12,33.36,11.76
76.84,67.55,33.33,11.84
75.55,67.96,32.72,11.78
74.97,64.98,32.8,11.82
75.07,66.39,31.6,11.83
74.15,66.5,30.92,11.81
74.57,65.76,31,11.42
74.98,66.75,32.11,11.34
72.09,66,31.23,11.3
71.48,65,30.91,11.24
73.41,66.97,31.48,11.01
71.81,65.3,31.54,11.29
74.5,65.75,31.95,11.78
72.27,66.89,31.02,11.68
72.58,64.82,31.52,11.52
72.96,61.8,32.19,11.55
74.28,63.23,32.37,11.78
72.6,63.77,31.67,11.54
73.52,62.76,32.74,11.6
71.19,63.01,32.86,11.32
66.25,62.7,30,11.36
67.96,65.1,30.09,11.34
66.57,65.2,28.77,11.5
64.67,64.77,28.03,11.21
64.36,63.62,27.49,10.86
63.2,61.55,27.25,10.47
64.98,59.12,28.03,10.76
65.76,57.72,28.78,10.93
62.58,56.53,27.89,10.65
61.61,59.1,27.9,10.87
61.42,59.25,27.38,10.7
60.32,58.85,27.13,10.86
61.42,58.05,27.53,10.76
61.2,56.5,26.36,10.97
60.57,55.14,26.45,11.09
63.74,55.83,28.1,11.55
64.8,56.31,27.78,11.45
61.26,55.33,28.12,11.29
61.8,52.4,28.3,11.17
61.98,50.72,27.92,11.25
63.13,48.41,28.1,11.55
63.41,49.32,28.79,11.36
62.73,50.03,28.28,11.22
60.77,48,27.24,11.03
61.53,44.21,26.64,11.09
59.05,44.2,25.3,10.3
59.4,45.81,25.36,10.36
59.67,44.25,25.3,10.46
57.76,47.36,25.22,10.4
55.72,45.8,24.65,10.02
53.98,45.25,24.67,10.61
54.6,44.56,24.24,10.85
55.01,43.74,24.85,10.69
54.6,41.6,24.55,10.38
53.78,40.12,24.74,10.58
54.31,40.15,24.2,10.72
54.11,41.04,23.66,10.81
55.17,40.29,23.75,10.86
54.17,42.39,23.82,10.3
55.93,42.8,24.54,9.97
56.81,42.11,24.1,9.84
53.62,40.69,23.18,9.7
53,40.61,22.27,9.9
52.12,40.66,22.17,9.87
53.93,39.31,22.1,9.55
54.72,39.37,22.43,9.92
55.21,42.34,21.92,10.11
55.66,41.28,22.07,10.36
56.49,43.13,22.6,10.78
54.99,43.15,22.28,10.65
54.45,43.03,22.94,10.64
56.8,43.35,22.64,11
56.5,43.67,22.52,11.06
57.72,42.49,23.22,11.29
56.87,42.91,23.6,11.22
57.85,41.94,22.82,11.26
59.14,42.41,24.17,11.43
58.38,41.99,24.16,11.56
59.94,42.37,24.84,11.46
60.49,43.2,24.37,11.32
59.79,40.95,24.76,11.3
59.6,41.55,24,11.59
60.87,40.22,23.82,11.7
60.51,39.12,23.91,11.52
61.16,39.29,24.29,11.66
59.58,38.23,23.84,11.53
58.7,38.08,23.82,12.12
59.3,37.37,23.84,12.26
57.74,35.96,22.9,11.44
60.45,34.33,25.02,11.34
61.52,32.41,25.16,11.19
62.95,31.36,26.12,11.31
61.26,31.12,24.73,10.47
59.2,31.57,23.97,10.2
58.85,31.8,24.46,9.98
56.16,29.86,23.32,10.27
56.05,29,23.35,10.28
56.19,29.18,23.55,10.24
57.48,29.24,24.1,10.21
57.6,28.04,23.9,10.44
57.22,28.42,23.77,10
58.2,27.3,25.57,10.04
58.08,26.48,25.22,9.71
59.2,25.07,24.52,10.28
58.08,25.31,25.19,10.26
59.62,27,26.07,10.74
58.02,28.19,26.55,10.54
57.77,26.73,25.9,10.56
54.12,24.59,25.45,10.21
54.95,22.91,25.4,10.55
54.88,23.76,24.74,10.69
54.95,22.21,23.86,10.86
51.75,22.8,23.23,10.83
48.14,22.57,22.53,9.55
49.79,22.16,22.9,9.34
47.28,21.2,22.16,9.34
46.84,19.67,21.91,8.85
48.26,20.11,22.1,9.24
47.38,19.52,21.92,9.67
45.57,18.92,20.33,9.42
44.99,17.11,20.07,10.06
43.98,16.56,19.52,9.76
44.9,16.37,20.37,9.86
45.02,16.69,19.89,10
43.5,14.74,18.91,10.61
42.33,13.87,20.22,9.83
41.87,13.49,19.86,10.24
40.41,13.23,18.28,10.35
41.44,12.69,19.18,10.29
37.73,12.43,17.75,10.33
36.87,10.99,16.71,10.23
35.73,11.37,16.72,10.13
35.4,10.08,16.88,10.07
37.55,10.92,17.01,9.98
38.51,10.76,17.32,10.24
35.03,9.62,16.99,9.91
33.54,9.62,16,9.58
34.03,10.37,14.89,9.15
37.48,9.28,16.07,9.26
35.42,8.89,17.02,9.67
32.85,8.91,17.16,9.73
32.33,9.75,19.8,9.86
32.3,11.06,19.15,10.08
29.42,10.15,18.41,9.8
29.65,9.35,18.6,9.53
30.18,8.3,18.95,9.91
30.44,10.5,20.38,9.74
30.75,9.46,19.43,9.9
28.77,9.35,19.54,9.66
28.36,8.69,19.5,9.8
25.86,9.12,19.79,10.12
28.62,8.36,19.5,10.37
29.25,7.99,19.39,10.58
30.45,7.56,19.51,10.91
28.83,7.25,17.78,10.81
29.32,5.47,17.53,10.88
28.73,5.09,17.42,10.75
25.71,4.61,16.54,10.65
23.67,4.4,16.1,10.33
21.79,4.2,15.81,9.88
19.6,3.89,15.23,8.79
17.77,4.19,13.65,9.63
16.87,3.58,12.66,8.8
17.43,3.63,12.4,7.46
18.02,3.69,12.91,6.59
18.89,3.38,13.4,6.88
